,,,,,3,2,1,-1
7FACTOR,0.77,-1,Am not interested in other people's problems.,Agreeableness,,,,
7FACTOR,0.77,-1,Find fault with everything.,Agreeableness,,,,
BFAS-20,0.88,1,Am interested in people.,Agreeableness,,,,
BFAS-20,0.88,1,Sympathize with others' feelings.,Agreeableness,,,,
BFAS-20,0.88,1,Have a soft heart.,Agreeableness,,,,
BFAS-20,0.88,1,Take time out for others.,Agreeableness,,,,
BFAS-20,0.88,1,Feel others' emotions.,Agreeableness,,,,
BFAS-20,0.88,1,Make people feel at ease.,Agreeableness,,,,
BFAS-20,0.88,1,Inquire about others' well-being.,Agreeableness,,,,
BFAS-20,0.88,1,Know how to comfort others.,Agreeableness,,,,
BFAS-20,0.88,1,Love children.,Agreeableness,,,,
BFAS-20,0.88,1,Am on good terms with nearly everyone.,Agreeableness,,,,
BFAS-20,0.88,1,Have a good word for everyone.,Agreeableness,,,,
BFAS-20,0.88,1,Show my gratitude.,Agreeableness,,,,
BFAS-20,0.88,1,Think of others first.,Agreeableness,,,,
BFAS-20,0.88,1,Love to help others.,Agreeableness,,,,
BFAS-20,0.88,-1,Am not interested in other people's problems.,Agreeableness,,,,
BFAS-20,0.88,-1,Feel little concern for others.,Agreeableness,,,,
BFAS-20,0.88,-1,Am not really interested in others.,Agreeableness,,,,
BFAS-20,0.88,-1,Am hard to get to know.,Agreeableness,,,,
BFAS-20,0.88,-1,Am indifferent to the feelings of others.,Agreeableness,,,,
BIG5,0.88,1,Am interested in people.,Agreeableness,,,,
BIG5,0.88,1,Sympathize with others' feelings.,Agreeableness,,,,
BIG5,0.88,1,Have a soft heart.,Agreeableness,,,,
BIG5,0.88,1,Take time out for others.,Agreeableness,,,,
BIG5,0.88,1,Feel others' emotions.,Agreeableness,,,,
BIG5,0.88,1,Make people feel at ease.,Agreeableness,,,,
BIG5,0.88,1,Inquire about others' well-being.,Agreeableness,,,,
BIG5,0.88,1,Know how to comfort others.,Agreeableness,,,,
BIG5,0.88,1,Love children.,Agreeableness,,,,
BIG5,0.88,1,Am on good terms with nearly everyone.,Agreeableness,,,,
BIG5,0.88,1,Have a good word for everyone.,Agreeableness,,,,
BIG5,0.88,1,Show my gratitude.,Agreeableness,,,,
BIG5,0.88,1,Think of others first.,Agreeableness,,,,
BIG5,0.88,1,Love to help others.,Agreeableness,,,,
BIG5,0.88,-1,Am not interested in other people's problems.,Agreeableness,,,,
BIG5,0.88,-1,Feel little concern for others.,Agreeableness,,,,
BIG5,0.88,-1,Am not really interested in others.,Agreeableness,,,,
BIG5,0.88,-1,Am hard to get to know.,Agreeableness,,,,
BIG5,0.88,-1,Am indifferent to the feelings of others.,Agreeableness,,,,
NEO5-20,0.85,1,Have a good word for everyone.,Agreeableness,,,,
NEO5-20,0.85,1,Believe that others have good intentions.,Agreeableness,,,,
NEO5-20,0.85,1,Respect others.,Agreeableness,,,,
NEO5-20,0.85,1,Accept people as they are.,Agreeableness,,,,
NEO5-20,0.85,1,Make people feel at ease.,Agreeableness,,,,
NEO5-20,0.85,1,Am concerned about others.,Agreeableness,,,,
NEO5-20,0.85,1,Trust what people say.,Agreeableness,,,,
NEO5-20,0.85,1,Sympathize with others' feelings.,Agreeableness,,,,
NEO5-20,0.85,1,Am easy to satisfy.,Agreeableness,,,,
NEO5-20,0.85,1,Treat all people equally.,Agreeableness,,,,
NEO5-20,0.85,-1,Have a sharp tongue.,Agreeableness,,,,
NEO5-20,0.85,-1,Cut others to pieces.,Agreeableness,,,,
NEO5-20,0.85,-1,Suspect hidden motives in others.,Agreeableness,,,,
NEO5-20,0.85,-1,Get back at others.,Agreeableness,,,,
NEO5-20,0.85,-1,Insult people.,Agreeableness,,,,
NEO5-20,0.85,-1,Believe that I am better than others.,Agreeableness,,,,
NEO5-20,0.85,-1,Contradict others.,Agreeableness,,,,
NEO5-20,0.85,-1,Make demands on others.,Agreeableness,,,,
NEO5-20,0.85,-1,Hold a grudge.,Agreeableness,,,,
NEO5-20,0.85,-1,Am out for my own personal gain.,Agreeableness,,,,
NEO,0.77,1,Anticipate the needs of others.,Altruism,2,9,,3
NEO,0.77,1,Love to help others.,Altruism,,,,
NEO,0.77,1,Have a good word for everyone.,Altruism,,,,
NEO,0.77,1,Make people feel welcome.,Altruism,,,,
NEO,0.77,1,Am concerned about others.,Altruism,,,,
NEO,0.77,-1,Am indifferent to the feelings of others.,Altruism,,,,
NEO,0.77,-1,Turn my back on others.,Altruism,,,,
NEO,0.77,-1,Make people feel uncomfortable.,Altruism,,,,
NEO,0.77,-1,Look down on others.,Altruism,,,,
NEO,0.77,-1,Take no time for others.,Altruism,,,,
ORVIS,0.86,1,Help others learn new ideas,Altruism,,,,
ORVIS,0.86,1,Care for sick people,Altruism,,,,
ORVIS,0.86,1,Be an elementary-school teacher,Altruism,,,,
ORVIS,0.86,1,Be a social worker,Altruism,,,,
ORVIS,0.86,1,"Be a minister, priest, rabbi or other religious teacher",Altruism,,,,
ORVIS,0.86,1,Counsel persons who need help,Altruism,,,,
ORVIS,0.86,1,Instruct parents on child care,Altruism,,,,
ORVIS,0.86,1,Be a doctor or nurse,Altruism,,,,
ORVIS,0.86,1,Be a physical therapist,Altruism,,,,
ORVIS,0.86,1,Provide comfort and support to others,Altruism,,,,
ORVIS,0.86,1,Participate in charity events,Altruism,,,,
ORVIS,0.86,1,Help people make career decisions,Altruism,,,,
ORVIS,0.86,1,Be a counselor or therapist,Altruism,,,,
BIS_BAS,0.77,1,Like to show off my body.,Ambition/Drive,3,8,,9
BIS_BAS,0.77,1,Take charge.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Know how to get around the rules.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Try to surpass others' accomplishments.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Push myself very hard to succeed.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Have a strong need for power.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Want to be in charge.,Ambition/Drive,,,,
BIS_BAS,0.77,-1,Am not highly motivated to succeed.,Ambition/Drive,,,,
BIS_BAS,0.77,-1,Hate being the center of attention.,Ambition/Drive,,,,
BIS_BAS,0.77,-1,Am not an extraordinary person.,Ambition/Drive,,,,
CPI,0.83,1,Seldom get mad.,Amiability,9,2,,"4,6"
CPI,0.83,1,Seldom take offense.,Amiability,,,,
CPI,0.83,1,Rarely get irritated.,Amiability,,,,
CPI,0.83,1,Rarely complain.,Amiability,,,,
CPI,0.83,1,Am not easily annoyed.,Amiability,,,,
CPI,0.83,-1,Am often in a bad mood.,Amiability,,,,
CPI,0.83,-1,Have days when I'm mad at the world.,Amiability,,,,
CPI,0.83,-1,Get out of control.,Amiability,,,,
CPI,0.83,-1,Suspect hidden motives in others.,Amiability,,,,
CPI,0.83,-1,Get angry easily.,Amiability,,,,
BFAS,0.89,1,Get angry easily.,Anger,8,4,,9
BFAS,0.89,1,Get upset easily.,Anger,,,,
BFAS,0.89,1,Change my mood a lot.,Anger,,,,
BFAS,0.89,1,Am a person whose moods go up and down easily.,Anger,,,,
BFAS,0.89,1,Get easily agitated.,Anger,,,,
BFAS,0.89,1,Can be stirred up easily.,Anger,,,,
BFAS,0.89,-1,Rarely get irritated.,Anger,,,,
BFAS,0.89,-1,Keep my emotions under control.,Anger,,,,
BFAS,0.89,-1,Rarely lose my composure.,Anger,,,,
BFAS,0.89,-1,Am not easily annoyed.,Anger,,,,
CAT-PD,"0.83,0.85",1,Get angry easily.,Anger,,,,
CAT-PD,"0.83,0.85",1,Often feel overwhelmed with rage.,Anger,,,,
CAT-PD,"0.83,0.85",1,Get irritated easily.,Anger,,,,
CAT-PD,"0.83,0.85",1,Have a violent temper.,Anger,,,,
CAT-PD,"0.83,0.85",-1,Am not easily annoyed.,Anger,,,,
CAT-PD,"0.83,0.85",-1,Don't let little things anger me.,Anger,,,,
NEO,0.88,1,Get irritated easily.,Anger,,,,
NEO,0.88,1,Am often in a bad mood.,Anger,,,,
NEO,0.88,1,Get angry easily.,Anger,,,,
NEO,0.88,1,Lose my temper.,Anger,,,,
NEO,0.88,1,Get upset easily.,Anger,,,,
NEO,0.88,-1,Am not easily annoyed.,Anger,,,,
NEO,0.88,-1,Rarely get irritated.,Anger,,,,
NEO,0.88,-1,Seldom get mad.,Anger,,,,
NEO,0.88,-1,Keep my cool.,Anger,,,,
NEO,0.88,-1,Rarely complain.,Anger,,,,
CAT-PD,"0.84,0.89",1,Find nothing excites me.,Anhedonia,5,6,,4
CAT-PD,"0.84,0.89",1,Feel that nothing seems to make me feel good.,Anhedonia,,,,
CAT-PD,"0.84,0.89",1,Am not a joyful person.,Anhedonia,,,,
CAT-PD,"0.84,0.89",1,Have trouble getting interested in things.,Anhedonia,,,,
CAT-PD,"0.84,0.89",-1,Have a lot of fun.,Anhedonia,,,,
CAT-PD,"0.84,0.89",-1,Am an energetic person.,Anhedonia,,,,
16PF,0.80,1,Am afraid that I will do the wrong thing.,Anxiety,6,,4,"9,1"
16PF,0.80,1,Feel threatened easily.,Anxiety,,,,
16PF,0.80,1,Am easily hurt.,Anxiety,,,,
16PF,0.80,1,Worry about things.,Anxiety,,,,
16PF,0.80,1,Spend time thinking about past mistakes.,Anxiety,,,,
16PF,0.80,1,"Feel guilty when I say ""no.""",Anxiety,,,,
16PF,0.80,1,Feel crushed by setbacks.,Anxiety,,,,
16PF,0.80,-1,Don't worry about things that have already happened.,Anxiety,,,,
16PF,0.80,-1,Am not easily bothered by things.,Anxiety,,,,
16PF,0.80,-1,Don't let others discourage me.,Anxiety,,,,
BFAS,0.84,1,Am filled with doubts about things.,Anxiety,,,,
BFAS,0.84,1,Feel threatened easily.,Anxiety,,,,
BFAS,0.84,1,Worry about things.,Anxiety,,,,
BFAS,0.84,1,Am easily discouraged.,Anxiety,,,,
BFAS,0.84,1,Become overwhelmed by events.,Anxiety,,,,
BFAS,0.84,1,Am afraid of many things.,Anxiety,,,,
BFAS,0.84,-1,Seldom feel blue.,Anxiety,,,,
BFAS,0.84,-1,Feel comfortable with myself.,Anxiety,,,,
BFAS,0.84,-1,Rarely feel depressed.,Anxiety,,,,
BFAS,0.84,-1,Am not embarrassed easily.,Anxiety,,,,
BIS_BAS,1994.00,1,Get stressed out easily.,Anxiety,,,,
BIS_BAS,1994.00,1,Am easily hurt.,Anxiety,,,,
BIS_BAS,1994.00,1,Am afraid that I will do the wrong thing.,Anxiety,,,,
BIS_BAS,1994.00,1,Often worry about things that turn out to be unimportant.,Anxiety,,,,
BIS_BAS,1994.00,1,Worry about what people think of me.,Anxiety,,,,
BIS_BAS,1994.00,1,Begin to panic when there is danger.,Anxiety,,,,
BIS_BAS,1994.00,1,Become overwhelmed by events.,Anxiety,,,,
BIS_BAS,1994.00,1,Am always worried about something.,Anxiety,,,,
BIS_BAS,1994.00,-1,Rarely worry.,Anxiety,,,,
BIS_BAS,1994.00,-1,Am not embarrassed easily.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Feel my anxiety overwhelms me.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Am nervous or tense most of the time.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Panic easily.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Feel that my worry and anxiety is out of control.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Am generally a fearful person.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Am easily startled.,Anxiety,,,,
CAT-PD,"0.83,0.85",-1,Rarely worry.,Anxiety,,,,
HEXACO_PI,0.85,1,Get stressed out easily.,Anxiety,,,,
HEXACO_PI,0.85,1,Worry about things.,Anxiety,,,,
HEXACO_PI,0.85,1,Panic easily.,Anxiety,,,,
HEXACO_PI,0.85,1,Get upset by unpleasant thoughts that come into my mind.,Anxiety,,,,
HEXACO_PI,0.85,1,Often worry about things that turn out to be unimportant.,Anxiety,,,,
HEXACO_PI,0.85,-1,Remain calm under pressure.,Anxiety,,,,
HEXACO_PI,0.85,-1,Don't worry about things that have already happened.,Anxiety,,,,
HEXACO_PI,0.85,-1,Rarely feel depressed.,Anxiety,,,,
HEXACO_PI,0.85,-1,Rarely worry.,Anxiety,,,,
HEXACO_PI,0.85,-1,Am not easily disturbed by events.,Anxiety,,,,
JPI,0.87,1,Have frequent mood swings.,Anxiety,,,,
JPI,0.87,1,Often feel blue.,Anxiety,,,,
JPI,0.87,1,Get upset easily.,Anxiety,,,,
JPI,0.87,1,Worry about things.,Anxiety,,,,
JPI,0.87,1,Get stressed out easily.,Anxiety,,,,
JPI,0.87,-1,Seldom feel blue.,Anxiety,,,,
JPI,0.87,-1,Am relaxed most of the time.,Anxiety,,,,
JPI,0.87,-1,Am not easily bothered by things.,Anxiety,,,,
JPI,0.87,-1,Rarely get irritated.,Anxiety,,,,
JPI,0.87,-1,Am not easily frustrated.,Anxiety,,,,
NEO,0.83,1,Am afraid of many things.,Anxiety,,,,
NEO,0.83,1,Get stressed out easily.,Anxiety,,,,
NEO,0.83,1,Get caught up in my problems.,Anxiety,,,,
NEO,0.83,1,Worry about things.,Anxiety,,,,
NEO,0.83,1,Fear for the worst.,Anxiety,,,,
