,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
10,Job security  and  career growth  opportunity  is very  commendable..,Salary,0,0,1,0,1,1,0,3
11,Work environment is highly conducive and the management is very caring.,Distance from main city and poor accessibility due to bad roads.,0,0,0,0,0,0,1,1
12,The company is open to innovation and readily adopts latest technology. I love the fact that I am a part of a team that markets reliable.,Compensation is decent. But growth is slow.,0,0,1,1,0,1,0,3
13,"not a very healthy work space. One can not directly reach the Principal and talk one's concerns. Coordinators are worst. there is always goin on much planning on improving education and classroom activities, but almost always there is never much time for implementing the planning. Politics on high level.","Students don't get library benefits. Teachers don't get relief. Too much tension, negativity and drama in workplace.",0,0,1,1,0,0,0,2
14,"It's an excellent opportunity for me to work in Dps,Gaya.I'm very happy to work over here.",Not as such disliking I have to work over here.,0,0,0,0,0,0,0,0
15,"I loved being part of Delhi public school,the atmosphere there was very nice, my co-workers were very friendly and helpful all the teachers and staff were good by nature....miss those days",Nothing,0,0,0,0,0,0,0,0
16,Work ambiance and culture are adorable. Team work is excellent over here.Plenty of opportunities are available for professional growth.I can use my expertise and exposure freely to impart teachings and make lesson plans. Management is very professional and truly educated. Its very enriching and reminiscent experience so far. Journey so far is very challenging and full of exploration and innovation.,"Its very difficult to lead a team of certain people who all are not very receptive.Sometimes I  observe people play politics. Specially the senior teachers. 
Their welfare policies towards teachers should have been better.",1,0,0,1,0,1,0,3
17,"Let me tell you all theDPS does not follow the same policy , they  have their own set of rules.
It's pretty cool to work as an coordinator where l need to guide teachers in every step for a better results  ,working  environment is good  to work at  .A proper system is required to be followed,  Teachers should be appreciated for their work. Last but not the least I am blessed to be a part of this team ,we as humans are never content, We alway expects  a lot from the management  .hoping to make  it a better school in this area Damoh M.P
Thanks 
Caroline O'Connor","Need 7th 
pay which is lacking",0,0,0,1,0,0,1,2
18,This school in job  my aim .,Physical education teacher.,0,0,0,0,0,0,0,0
19,"In DPS ,ELDECO,LUCKNOW :Excellent teammates,Extraordinary atmospher,good salary structure, Awesome School",Teacher and Teammates are through Professional and hard working .,0,0,1,0,0,0,1,2
20,It is joint adventure of DPS society and Northern coal field limited . To much good atmosphere for learning and teaching. We are getting all perk a of 7 pay scale like LTC Travel allowance gratuity 12 PF etc,It is rular area everything is not available here.,1,0,1,0,0,0,0,2
21,Great work environment.,Salary/Appraisal,0,0,1,0,0,0,1,2
22,"I feel proud of being a part of DELHI PUBLIC SCHOOL,which has been a great platform for me for improving my interpersonal skills as well as it has given me a wide exposure to many other fields. The staffs are quite cooperative indeed.",I am a person who loves to grow where ever I work. I love innovating new things as well as learning more.  I am unable to reach great heights as my growth is a constant factor here.,1,0,0,0,0,1,0,2
23,Friendly environment,Too much of activities,0,0,0,0,0,0,0,0
24,Pick up and drop fecility,Primary teachers r treated as slaves. No job security.,0,0,1,0,1,0,0,2
25,I learned much during this time.much about early childhood period and plans.i dealt with pre primaries as well as taking classes on art and craft.it gave me a lot to deal with upcoming events and opportunities in my life,I was not much satisfied with the salary according to the hard work I did.there was slow growth.,1,0,1,0,0,1,0,3
26,The school is extremely good for students and teachers there are exceptionally good at their job. The head of the organization is open to innovation and gives enough opportunity to everyone to grow. The school has state of the art science and computer labs.,Their is too much of power dynamics in Delhi Public school specially R K Puram branch. The HODs misuse their position and even get their PERSONAL work done from the new entrants in the department. The work environment is sickening.,0,0,0,1,0,1,0,2
27,"Teammates,job security,learning,work environment","Growth salary,work life balance",1,1,1,0,0,1,1,5
28,"Working anywhere is a learning experience. I learnt more about technology here. I learnt to handle and come out of the difficult situations. As I worked for a very short period of time, was not able to go much deep into it.","Appraisal, growth prospects, job security is very uncertain. Work load is too much and have to carry it at home. Employees are not valued for their efforts they put in.",1,0,1,0,1,1,0,4
29,"I like teaching, the school is established & near my house so I don’t need to travel too far.",Politically rife area:There are parallel governments in administration. Too many people misuse responsibility and designation as power.,0,0,0,1,0,0,0,1
30,ICT implementation,Congenial Environment,0,0,0,0,0,0,0,0
31,"Good team work , empathetic point of view, freedom of work,",There is nothing that I dislike about my school.,0,0,0,0,0,0,0,0
32,"Good infrastructure.
Ample opportunity to develop skills and gives every teacher a chance to attend workshops and go on educational tours.",Nothing as such.only regret we teachers do not get transfer from one dps to other.,1,0,0,0,0,0,0,1
33,"Work environment, sustainability,",Salary/appraisal- i hope i will satisfied over time to come by showing my work performance.,0,0,1,0,1,0,1,3
34,Very Nice place to work and Grow..........,Nothing,0,0,0,0,0,1,0,1
35,It would be a mistake to Join DPS RJN,"Salary
Work culture 
Unnecessary work",0,0,1,1,0,0,0,2
36,The school is open to innovative and dynamic personalities and readily provides the resources in the form of the latest technologies for the improvement of the teaching-learning process. I love the fact that I have been a part of a team of reliable resources like my former colleagues.,I dislike the work timings and working days most. Hardly you can get free time on Sundays due to the busy schedule which is strictly followed.,0,1,0,0,0,0,0,1
37,"The staff is young, energetic and vibrant but needs guidance which is actually not provided instead they get continuous whacking which destabilizes the faculty team and in turn the school strength.",Everything..Completely negative environment. No freedom of work.. No freedom of expression.. Leadership itself is full of negatively.. Work culture is based on fault finding and criticism and zero appreciation. Worst experience of my 19 years of carrier.,1,0,0,1,0,0,0,2
38,Sport teacher,Hindi english,0,0,0,0,0,0,0,0
39,"Learn to work under pressure. Top level management is very nice & supportive, but there is a problem with the senior level management. The middle mgt. is not aware of his/her  job profile & lack of the leadership qualities as a team leader.","Compensation is decent, but growth is slow. The work pressure is very high. Seniors do not value an individual's unique strengths, which is why I have to take back  my suggestions most of the times.",1,0,1,0,0,1,0,3
40,I like this organisation which has excellent atmosphere in education,"As I am trying to work in this organisation as presently working in Army public school,sukna",0,0,0,0,0,0,0,0
41,"Dedication,innovative thinking n perfection","Dps management dspleasured with their partner unitech n withdrew their support. Principal transferred to another DPs without any intimation. Very pathetic situation for staff , parents n teachers.1st batch of X students were struggled a lot physically n mentally.",0,0,0,1,0,0,0,1
42,The school offers effective team mates and opportunities to experience different portfolios in the school management system. The environment is competitive and the school encourages fast paced teaching- learning multi-faceted  exposures.,Defined job roles are still to be implemented. There is uneven distribution of work.  Some have extra work pressures compared to others.,0,0,0,0,0,1,0,1
43,"The exposure given by my respected Principal Ms.Aditi Misra .. 
she had given me the best of work experiences, job responsibilities,trust in me n my work , and always awarded n rewarded me with the best ..
I am truly grateful and will remain grateful forever !!!!!
Wish to work again whenever given n opportunity to ....",None,1,0,0,0,0,0,0,1
44,"A wonderful team, great opportunities to learn and a good work life balance. Job security is great.  Generally a good work atmosphere.",It's a good place to work and the experience is helpful. Growth is slow and sometimesdepends on factors beyond one's control.,1,1,0,0,1,1,1,5
45,"Good thing is that, you become used to of hard and too much work, so next time when you join any organization, you find easier to cope.",Too much and irrelevant work load. Erratic schedule and confusing time tables. Flattery is another issue to deal with.,0,0,0,0,0,0,0,0
46,Delhi Public School made me great teacher i really look forward to execute my learnings,Nothing,1,0,0,0,0,0,0,1
47,Good job security if you demonstrate quality in teaching,salary/appraisal; work environment; work-life balance,0,1,1,0,1,0,1,4
48,"professionalism, super timings atleast in my branch, super work-life balance, weekends off, nice work atmosphere","low salaries to contractual employees, equal work. And even after working there for 2-3 years, even after you are ssured your work is liked by them, they can ask you to leave at anytime without giving reason. Poor job security",0,1,1,0,1,0,0,3
49,Not applicable,No comment,0,0,0,0,0,0,0,0
50,"Very bitter experience of working with the principal. My efforts and time were never appreciated. Principal always finds ways to demoralise the staff inspite of  putting in 100 percent efforts. Very long working hours and further to overload you, homework is always there in waiting.",Attitude of principal and administration,0,1,0,0,0,0,1,2
51,WORK LIFE BALANCE TRAINING,POLITICS  SALARYAPPRAISAL,0,1,1,1,0,0,0,3
52,"Over my experience was great I love the fact that I am a part of the team.
of delhi public school.",School bus service only,0,0,1,0,0,0,0,1
53,I did not find anything to like their,Most important of all from 1st April 2019 it is Delhi Public International School not Delhi Public School as School is no more associated with Delhi Public school Society.,0,0,0,0,0,0,1,1
54,This school has the latest security system in Bihar. Also the team mates are very reliable and enthusiastic in the works. It's helpful to me get rest.,"The culture of Bihar may be updated more. The workers should be more enthusiastic by their 💓. Every company has their own politics. So please stay out of this. If you work hard then employer will give extra benefit as child education free, family accomodation ( for out sider) free. Salary of this company is good but timing of the salary is very bad. If anyone wants to train here is good to stay here. Work life balance is good.",0,1,1,1,0,0,0,3
55,"Culture here is awesome.. when it comes to teamwork, everyone puts into their 100% effort to help each other and make the task a success. Lots of training workshops to add to our knowledge and skills",I don't feel anything which I don't like till now..,0,0,0,1,0,0,0,1
56,Everything is good and have job security also.,Only one thing to dislike is that it is in Varanasi. Less opportunities to grow.,0,0,0,0,1,1,0,2
57,Everything is good,Everything is good,0,0,0,0,0,0,0,0
58,Not Good,All things Salery Cut krte h,0,0,1,0,0,0,0,1
59,"Teamspirit, healthy environment is create to work smoothly and easeful. Institution has long vision to inculcate esteemed culture to develop well mannered behaviour. It provides us to work in a teame to go ahead with sharing responsibility. There is high esteemed culture within the campus so that each one of us develop with modern technological innovation.",I am not finding any single scope to dislike.,0,0,0,1,0,0,0,1
60,I feel very comfortable here and I m fully satisfied with my job.,"No,  never",0,0,0,0,0,0,1,1
61,"Teammates are very well experienced, cooperativr, full job security, there is good career growth,innovation is there use of best strategies for teching.","Polictics and poor work management,",0,0,0,0,1,1,0,2
62,It was a nice and life time experience that i had learnt from dps aligarh thanks naukri.com for channelizing my future,Travelling,1,0,0,0,0,0,0,1
63,The work timings,"The way the management treats it's staff, the compensation is very poor, heavy work load",0,0,1,0,0,0,0,1
64,This school is open to innovation and new ideas to implement. I love the fact that i am a part of this school.,"Compensation is decent, but growth is slow. The work pressure is very high.",0,0,1,0,0,1,0,2
65,The resources of the school are good in quantity.,Poor focus on academics. No control over politics among the faculty. The school also needs some serious plans for maintaining discipline amongst the students,0,0,0,0,0,0,0,0
66,Freedom to work,There is nothing to dislike,0,0,0,1,0,0,1,2
67,"Things which I like most about my job and my company. The list is long but I am mentioning few - 
It's great to work in such a wonderful atmosphere with cooperative,caring, fun loving, helping, innovative and creative teaching and non teaching staff.  I learned a lot that's pretty exciting for me - I get to meet new people constantly, attend workshops, orientation programs, I worked with a really strong, close-knit group of people who all genuinely like and respect each other. Apart from teaching and non- teaching staff I got extremely good Boss,Head Mistress and Senior Mistress.
I was paid well, and I loved the job I did.",Stay backs,1,0,0,0,0,0,0,1
68,Their is nothing good at,Faculty Behaviour is so bad and no rules and regulation and bad system,0,0,0,1,0,0,1,2
69,It helped me to improve my skills as a teacher..the working environment was good.senior colleagues were motivating n helped me in different spheres of my work.i learnt a lot of innovative cultural aspects needed to be infused in children.,Lot of work pressure.,1,0,0,0,0,0,0,1
70,"It is a place to learn many things such as subject oriented workshops, work life balance.",I like almost every thing ..but career growth is Little bit dissatisfied,1,1,0,0,0,1,0,3
71,The school is running under DPS society and the HRD centre is training immensely pan India.,Nothing,0,0,0,0,0,0,0,0
72,"It was a great opportunity , very good experience with team of Delhi public school Indirapuram under the guidance of Mrs Meeta Rai, principal of Delhi Public School, a well known name in field of education. I have learnt a lot in DPS indirapuram.",Compensation is slow there was a lot extra responsibilities and work pressure.But I liked it. The only reason I left the job is the opportunity that I got it as founder principal in another school.,1,0,1,0,0,0,0,2
73,If anyone thought  job security of delhi public school Bhopal in that case his or her life will spoil.....,Because my personal experience is very bad. I'm suffering from depression that time.,0,0,0,0,1,0,0,1
74,Friendly and fully supportive.,Nothing.,0,0,0,0,0,0,0,0
75,"Vibrant atmosphere,  cooperative teammates, nice appraisal",No disliking,0,0,1,0,0,0,0,1
76,"School was good, good working environment salary was as per pay commission",I don't like the politics culture same as with other corporate companies,0,0,1,1,0,0,1,3
77,DPSG is open to accept latest technology and open to innovation. I love the fact that I was a part of that team that has good markets reliable.High quality of teachers and Admin staff!!,Growth is slow. I used to get appreciation e mails from my Principal and parents but at the time of appraisal they hardly get noticed,0,0,1,0,0,1,0,2
78,A lot of responsibilities and proper support from management.,Work life balance,0,1,0,0,0,0,0,1
79,"Learning, work environment",Career growth,1,0,0,0,0,1,1,3
80,"This school is open to innovation and readily adopts latest technology. I love the fact that i am a part of this institution, high quality administrative structure and has large numbers of student in this area.One of the plus point is that my colleagues are from various cultural background, we work happily in collaboration. I also like the employee re-hire policy here.","compensation is decent, but growth is slow. The work pressure is above normal. some times i have to work 10 to 12 hrs straight in a day.",0,1,1,0,0,1,0,3
81,Excellent school. Management is excellent. Probably the best. No politics in our school. Salary 7th Pay.,Education standard needs to improve. Needs to select good students who are academically sound both from primary and eleven level,0,0,1,1,0,0,0,2
82,In previous 5 years i had not gone through any good or learning experience. Still my dues are pending in the school.,everything,1,0,1,0,0,0,0,2
83,work environment is very good as every member is behave like a family.,no job security and salary not getting on time.,0,0,1,0,1,0,1,3
84,First of all job stability is excellent. Job environment is very decent. School Management is also very good.,Don't want to say.,0,0,0,0,1,0,0,1
85,Everything is good,Nothing,0,0,0,0,0,0,0,0
86,Great environment and lot of things i learn abd milestone in my professional life.,Nothing is bad but every institution have some rules which affects you.,1,0,0,0,0,0,0,1
87,It was an excellent experience working as a family group. Innovative method of teaching is well accepted with good growth.,Individual appreciation to be made as an encouragement.,0,0,0,0,0,1,0,1
88,"Job security, salary",Unnecessary interference in your personal life,0,1,1,0,1,0,0,3
89,I am very happy to work hear...my teammates and management encouraged me a lot,I didn't face any thing,0,0,0,0,0,0,1,1
90,Friendly Atmosphere and Agreeable Management.,Distribution of hierarchy.,0,0,0,1,0,0,0,1
91,Excellent,Nothing as such,0,0,0,0,0,0,1,1
92,"i want to tell every one who wants to join aakash educational services limited , in this company not good so far bcoz i work with aakash last 5 yr and 2 month , in marketing nobody bother about your values and company ,and any problem heppend with you, work culture is very poor , no one respect to seniors, if company decide to terminates you he done,no values matters for company, job security is zero in this company, every one is politician in this company i want also tell you every seniors of this company wants from your side like as servant. your salary growth also depend on your seniors no involvement company on this , all are Corrupts in this company , Companies director listen only seniors they no listen employee problems.","I strongly recommend to the company MD and Director sir kindly look into this those employees left your company what is reason behind, my dislike in this company's system some of policy is wrong for the students and Parents, this is 
  educational sector please i suggest kindly change that kindly of policy and kindly care about your organizational Employee",0,0,1,1,1,0,0,3
93,May dream was to work in an education stream.. I was initially I joined here as a counsellor and it was nice when parents trust u n join for bigger courses.. Good promotion and incentive scheme for those who work genuinely..,Initially everything was good but due to lot of internal politics and ego issues and attitude problem.. I left the job.. I'm nt telling the spoil the company's tes kind of people should be thrown away from compact rather than making poor employees stay long time for work hours and not allowing to take proper leaves also for female staffs.. No matter hw much ever u grow if u don't treat employees well.. They will anyway go..,0,0,1,0,0,1,0,2
94,"Just terrible & horrible. If you are under any Franchisee, then God save you!! Whatever franchisee owner wish to do just do that even at the cost of student's career. Main motive is earning revenue without slightest thinking of student's career as if charity is going on. In a room 50 seater capacity, some franchisee owner pushes 55-60..poor & average student remains poor & average only. Few teachers from Bihar/UP, does not know a single word of English and due to that non Hindi students gets the real problem..but who cares!! For those teachers that is their fault only. In few centres, there is no tradition of discussion of paper after an exam is over or to find out why few students are doing poor. Main concentration always remains on good students. Classes starts 10-15 minutes late but finishes on time. There are so many stories of pathetic condition that a novel could be written.",Franchisee owner interference in every single matter without knowing the root of anything...teachers negligence and attitude towards students...zero percent responsibility towards students except brilliant one...work culture...buttering policy etc,0,0,1,1,0,1,0,3
95,Salary payments are always on time. Good Health insurance. Proper structure. Well designed material. Supportive higher management.,Additional Holidays taken during Diwali shall be compensated on weekoff days. Some times one may have to work straight 15 days without an off day.,0,0,1,0,0,0,0,1
96,It has been an wonderful experience to work in aakash institute franchisee where I have developed my interpersonal skills and public speaking ability for the presengation I had to give in schools. Also learned a lot about team handling and how to work as team member. My team was very supportive and seniors always helped me when required. Career growth was average when working under a franchisee of aakash institute. But the salary was credited on time and anual increment was timely with incentives every year.,Working under a franchisee department has some of its drawbacks. The career growth was somewhat stagnent and the work was routine with no much scope of learning. Also there is an issue of week off.,1,0,1,0,0,1,0,3
97,"Aakash provide everything on time like salary, expenses, appraisal, training for skill development, innovation through corporate. Aakash is a good organisation. Work - life balance not much good if you are working in sales because of you can't  take weekly off without seniors permission. There are several things not good which are created by some middle order seniors .","Teammates are equally good. Corporate office provide a lot of training to the employees which is beneficial. Job is not secure in Aakash even you are performer due to branch level politics. Branch level seniors always justify themselves through complaining of juniors and others. Branch level seniors always blackmail to juniors, I will complain and your job will lost.  Sales person always afraid his job is insecure due to unnecessary work presser of seniors. Even he afraid to take his weekly off. Always cold war between BM & Sales Team Leader that's why team suffers a lot. Most of the time they create surprise meeting even a team member working 60 K.M. far from branch.",1,1,1,0,1,0,0,4
98,"Aakash is a very good company where you learn a lot. 
Each day new challenges and hurdles are there which makes you perfect and situation handler at the same time. 
The strict compliances of the company and the strict rules & regulations makes you a perfectionist. 
The best part is the environment of the company that is way too safe for the female staff.","No work life balance. 
No respect for the lower grade employees. 
No appreciation. 
Too much pressure on the one who works and no count of work on those who dont work. 
Politics.",1,1,0,0,0,0,0,2
99,It was a good experience. Good package. Cheerful and supporting staff. Decent culture.,Disliking things were not much. Only the thing is they should not provide targets to the counsellors as they already have a hectic schedule of attaining too many enquiries and informative calls on daily basis along with asmission processing activities in the given software. They should be provided a stressfree work culture as they are the smiling and cheerful representatives of the company at the front office.,0,0,1,1,0,0,0,2
100,"First of all I like this types company which is related automobile so I join here as a technician trainee in this company ,here I can't find any competition about career growth,I work as a quality supervisor in this company.my maneger loved very much.I m irritating here about politics","My teammates are good but not excellent,I want a team which would be hardworking like a team (T-together, E-eachother, A-Achive,M-more).My seniors are always busy with work but some seniors are wonderful they always help me .Here i can't find about the career growth , Nowadays our company runing a big politics problem (Union)  i don't like this politics.work environment is too good",0,0,0,1,0,1,0,2
101,Culture,Township is small,0,0,0,1,0,0,0,1
102,Security service was good,"He
The people management is not good.  The way they treat employees is unethical.  The way the treat employees is unexplainable.",0,0,0,1,0,0,0,1
103,In this company i have got to know how to lead my life..,Compulsory have to join otherwise you will not get money....,1,0,1,0,0,0,0,2
104,Nice work place team bounding,Training career growth,0,0,0,0,0,1,0,1
105,"Travel, learnings","Salary structure, culture, very bad politics, work environment, no work-life balance, old fashioned rule, no proper travel compensation, no guarantee, transfer, worst appraisal",1,1,1,1,0,0,1,5
106,I don't want comment,Once any body will join this company those people will not get any kind of career growth opportunities. They are are not giving any kind of opportunities who is old staff. They are giving only opportunities competitor brand person. You can earn money but your future growth permanently stop.,0,0,1,0,0,1,0,2
107,The company is open to innovation and largely adopts latest machine with loaded new functions,"Work 12, hours",0,1,0,1,0,0,0,2
108,satisfactory,no job security,0,0,0,0,1,0,1,2
109,It’s  very bad experience with affinity I just frustrated no work life balance nothing called professional in this company,Work culture,0,1,0,0,0,0,1,2
110,Wounderfull place to develop yourself and learn/improve the management level plan.,no comment,1,0,0,0,0,0,0,1
111,job security,work culture,0,0,0,1,1,0,0,2
112,"Training, Job Security, Work Environment, Work Life Balance. Many foreign clients so opportunities for onsite.","Salary/Appraisal, Politics, Cheap Managements, 3 months Notice Period.",0,1,1,1,1,1,1,6
113,"I like cold coffee of CCD like , Cafe frappe, arabica rubasta mix cappuccino, spinach sandwich, cleaning and hygiene.","My dislikes :-. They tooks extra time according to our shift hrs, they use abuse word with new staff, Etc.",0,0,0,0,0,0,0,0
114,"IIT Passout Team 
No cabin System
Be own Boss Environment
Innovation And Simpalicity '",Nothing,0,0,0,1,0,0,0,1
115,"The training was very useful..
But salary is low and career growth not satisfied. Over all good company I training here",I was work there 4 years only training period so I get only training period salary I don't get opportunity to crane operator,0,0,1,0,0,1,0,2
116,Employee Oriented company.,Toff to get job in jio.,0,0,0,0,0,0,0,0
117,The company is open to innovation and readily adopts latest technology. I also like a employee re-here.,HOD of Engineering Department.,0,0,0,1,0,0,0,1
118,I LOVE TO DO THIS JOB,NOTHING,0,0,0,0,0,0,1,1
119,Good,Politics,0,0,0,1,0,0,0,1
120,hardwaer nowlege,networking problem,0,0,0,0,0,0,0,0
121,6 month back Everything was good here but not now.,No job security now.,0,0,0,0,1,0,0,1
122,I like the culture n environment n the experiences sirs,Some time people behavior is rough,0,0,0,1,0,0,0,1
123,"Nothing , to be honest .","The Safety Line Manager & Project lead at Sterlite Project at MIDC Aurangabad project remained on State discrimination culture. Continuous miscommunication related to work & other issues made me suffer throughout the project . Even the Pune,MD did not support lower employees on any issues. Racial culture is practiced in this location. To name , Mr Ravikanth Raja , Vilas Malode & Rishi Shantanu made the whole Safety team suffer every now & then & were NOT at all supportive. Terrible experience with an MNC in my career . The employees hired through Third party consultant like MANPOWER CONSULTANT received pathetic treatment from CBRE Higher Management with repeated threats & provoking to resign gron job due to their job insecurity , to name it - Ravikanth Raja (Safety Line Manager , MIDC project,Aurangabad ) These employees were NOT even provided accommodation or reimbursement for the same . I was also hired through Manpower Consultant . It is a dishonour for me to be a part of CBRE . Maharastra location Higher Management requires shuffling to make things neutral on Racial Issues . VERY POOR Management .",0,0,0,1,0,0,0,1
124,Learning,Politics,1,0,0,0,0,0,0,1
125,Every one will get a friendly relationship with colleagues. When any one reach tragets they are given incentives and some are also send to the onsites (international travel) for the conferences. Its very easy to get job at OMICS.,"An employee can hardly gets a work satisfaction. I never prefer anyone to join this company at any cost. The Management hold salary which is totally illegal. They provide only 6 sick leaves in 12 months. The company treat us as if we are in a school. Mobiles phones are not allowed in the work premise and even if we have any urgency we need to take permission from managers. Strict rules, break timings are less, only 2nd and 3rd Saturdays are holidays, no leave on whole India Holidays. In case if the national holidays are on normal week days then all Saturdays of month will be considered as working days. No leaves can be taken one day before holiday, Double loss of pay on Monday. Managers, HRs and the most important person our so called CEO of OMICS, Srinubabu Gadela treat all the employees like a non living being, as if we have no life outside the office premise. We, mainly the Program Coordinators are the their slaves.",0,0,1,1,0,0,1,3
126,Leadership and skill development with short time period,Nothing,1,0,0,0,0,0,0,1
127,The company is too good and always giving benefits to the working staff.,"I was at the Faridabad branch of the company and the staff working here was way worse than one could think of.
I myself was falsely alleged of being in a scam which was done by oher team members.
Somehow i managed to get out and now i wish that no one finds himself in such situation where one has to prove himself of being not guilty despite being honest to work and responsibilities.",0,0,1,1,0,0,0,2
128,good management,Salary and career growth,0,0,1,0,0,1,0,2
129,Job security and company culture,Little more required of opportunity,0,0,0,1,1,1,0,3
130,Learning and Work environment..,Politics,1,0,0,0,0,0,1,2
131,It is a very systematic organized and you can get updation of the latest technologies. Self development can be possible. You will feel very secured staying in this organization.,"Recently one decision has taken by the management that,  staff family acomodation alllowance is cancelled. 
  In my opinion, management of SPCPL should be re think.",1,0,1,0,0,0,0,2
132,Peaceful Life and best place to work,Shift allowance less,0,0,1,0,0,0,0,1
133,I have converted good contracotr or customer.,"Off role not  care berger paints only lol.
We achive target but not full fill them by company.",0,0,0,0,0,0,0,0
134,"L&T is run more by engineering professionals rathger than business professionals. This company has grown to be an engineering bellweather due to its healthy start (serve the customer first, money comes later). But certain bitter lessons learnt on the way made them also become a quarter-to-quarter Top and Bottom lines conscious organization. However, one's engineering skills are valued most.. But getting into L&T as a lateral has great disadvantages unless it is at a level higher than a GM. Otherwise, it is use and throw, unless you are extremely indispensable and are capable of wrenching out promotions. Suprisingly, youngsters do not work for too long here. Since the selection process is good, only the good ones get selected and leave within a year or two. Hardly 5 to 10% of thge GETs continue with L&T.","Mediocrity that has crept in due to poor management despite best of intentions. Talent is not valued compared to apple polishing. But by the time bad elements are sacked, enough damage is done to good engineers",0,0,0,0,0,0,0,0
135,Work life balance,"Career growth, Job Security",0,1,0,0,1,1,0,3
